Name,variableType,Tool,usageType,Sex,knots,betacoefficent,variableUse,Baseline.Survival,Means,Label_Long,Label,Reference,Type
J1A_cat2_1_c,categorical,RESPECT,active,Both,NA,-0.134093482,Input,0.921096526,0.1922851286,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.8626652835,,,,
J1B_cat2_1_c,categorical,RESPECT,active,Both,NA,0.295868144,Input,0.921096526,0.1373347165,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.7318183423,,,,
J1C_cat2_1_c,categorical,RESPECT,active,Both,NA,0.04903443,Input,0.921096526,0.2681816577,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.3929126483,,,,
J1D_cat2_1_c,categorical,RESPECT,active,Both,NA,-0.114757415,Input,0.921096526,0.6070873517,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.763581925,,,,
J1DE_cat2_1_c,categorical,RESPECT,active,Both,NA,-0.133562512,Input,0.921096526,0.236418075,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.9879596446,,,,
J1K_cat2_1_c,categorical,RESPECT,active,Both,NA,-0.63050939,Input,0.921096526,0.01204035536,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.9518092833,,,,
J1L_cat2_1_c,categorical,RESPECT,active,Both,NA,-0.266781403,Input,0.921096526,0.0481907167,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.9862372331,,,,
K2E_cat2_1_c,categorical,RESPECT,active,Both,NA,0.313808486,Input,0.921096526,0.01376276692,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.729700069,,,,
K3D_cat2_1_c,categorical,RESPECT,active,Both,NA,0.122533085,Input,0.921096526,0.270299931,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.7360781748,,,,
K3E_cat2_1_c,categorical,RESPECT,active,Both,NA,0.284847007,Input,0.921096526,0.2639218252,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.9871912072,,,,
K8E_cat2_1_c,categorical,RESPECT,active,Both,NA,1.161422168,Input,0.921096526,0.01280879279,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.92119723,,,,
L1A_cat2_1_c,categorical,RESPECT,active,Both,NA,0.445792322,Input,0.921096526,0.07880276998,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.9670187858,,,,
L2B_cat2_1_c,categorical,RESPECT,active,Both,NA,0.380149271,Input,0.921096526,0.03298121422,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.9848806368,,,,
L2C_cat2_1_c,categorical,RESPECT,active,Both,NA,0.217546312,Input,0.921096526,0.0151193632,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.7855240811,No COPD/Emphysema/Asthma/Oxygen Not Applicable,No COPD/Emphysema/Asthma/Oxygen Not Applicable,Yes,HEALTH
Oxygen_cat6_1_c,categorical,RESPECT,active,Both,NA,0.199724652,Input,0.921096526,0.0005768914415,No COPD/Emphysema/Asthma/Oxygen Scheduled Not Recieved,No COPD/Emphysema/Asthma/Oxygen Scheduled Not Recieved,No,HEALTH
Oxygen_cat6_2_c,categorical,RESPECT,active,Both,NA,0.461264253,Input,0.921096526,0.03065411828,No COPD/Emphysema/Asthma/Oxygen Scheduled Recieved,No COPD/Emphysema/Asthma/Oxygen Scheduled Recieved,No,HEALTH
Oxygen_cat6_3_c,categorical,RESPECT,active,Both,NA,0.078864849,Input,0.921096526,0.1208377245,COPD/Emphysema/Asthma/Oxygen Not Applicable,COPD/Emphysema/Asthma/Oxygen Not Applicable,No,HEALTH
Oxygen_cat6_4_c,categorical,RESPECT,active,Both,NA,0.094614237,Input,0.921096526,0.0004461894743,COPD/Emphysema/Asthma/Oxygen Scheduled Not Recieved,COPD/Emphysema/Asthma/Oxygen Scheduled Not Recieved,No,HEALTH
Oxygen_cat6_5_c,categorical,RESPECT,active,Both,NA,0.42030037,Input,0.921096526,0.06196099523,COPD/Emphysema/Asthma/Oxygen Scheduled Recieved,COPD/Emphysema/Asthma/Oxygen Scheduled Recieved,No,HEALTH
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.6805861758,No Visits,No Visits,Yes,INST
P4A_cat4_1_c,categorical,RESPECT,active,Both,NA,0.120669033,Input,0.921096526,0.2668167987,One Visit,One Visit,No,INST
P4A_cat4_2_c,categorical,RESPECT,active,Both,NA,0.252758819,Input,0.921096526,0.04095779003,Two Visits,Two Visits,No,INST
P4A_cat4_3_c,categorical,RESPECT,active,Both,NA,0.318971827,Input,0.921096526,0.01163923553,Greater than Two Visits,Greater than Two Visits,No,INST
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.8072761935,No Visits,No Visits,Yes,INST
P4B_cat4_1_c,categorical,RESPECT,active,Both,NA,0.092630218,Input,0.921096526,0.1429841963,One Visit,One Visit,No,INST
P4B_cat4_2_c,categorical,RESPECT,active,Both,NA,0.123041633,Input,0.921096526,0.03278365895,Two Visits,Two Visits,No,INST
P4B_cat4_3_c,categorical,RESPECT,active,Both,NA,0.132951168,Input,0.921096526,0.01695595118,Greater Than Two Visits,Greater Than Two Visits,No,INST
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.9240922035,No Renal Failure/ Dialysis Not Applicable,No Renal Failure/ Dialysis Not Applicable,Yes,HEALTH
Renal_cat4_1_c,categorical,RESPECT,active,Both,NA,0.261972619,Input,0.921096526,0.06113772307,Renal Failure /Dialysis Not Applicable,Renal Failure /No Dialysis,No,HEALTH
Renal_cat4_2_c,categorical,RESPECT,active,Both,NA,0.346500311,Input,0.921096526,4.13E-05,Renal Failure/Dialysis Scheduled Not Recieved,Renal Failure/Dialysis Scheduled Not Recieved,No,HEALTH
Renal_cat4_3_c,categorical,RESPECT,active,Both,NA,0.492798105,Input,0.921096526,0.01472875962,Renal Failure/Dialysis Scheduled Recieved,Renal Failure/Dialysis Scheduled Recieved,No,HEALTH
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.6487534863,,,,
Sex_cat2_1_c,categorical,RESPECT,active,Both,NA,0.344294281,Input,0.921096526,0.3512465137,,,,
Age_rcs1_c,continuous,RESPECT,active,Both,"58,75,82,87,94",0.013609757,Input,0.921096526,NA,NA,NA,NA,NA
Age_rcs2_c,continuous,RESPECT,active,Both,"58,75,82,87,94",-0.010015553,Input,0.921096526,NA,NA,NA,NA,NA
Age_rcs3_c,continuous,RESPECT,active,Both,"58,75,82,87,94",0.158316253,Input,0.921096526,NA,NA,NA,NA,NA
Age_rcs4_c,continuous,RESPECT,active,Both,"58,75,82,87,94",-0.217247958,Input,0.921096526,NA,NA,NA,NA,NA
